"Brain","Condition","experiment","PC1","PC2","crusILT_cluster"
"an10_crus1_right","CNOnCrusIRT","202002_cfos",-0.0281025045159737,-0.0548812032597621,"group1"
"an11_crus1_right","CNOnCrusIRT","202002_cfos",-0.0446977608710916,0.0704729360900278,"group1"
"an12_crus1_right","CNOnCrusIRT","202002_cfos",-0.0500673541672676,0.00870092151998591,"group1"
"an13_crus1_right","CNOnCrusIRT","202002_cfos",-0.0356557105075367,-0.00298924659262754,"group1"
"an14_crus1_right","CNOnCrusIRT","202002_cfos",-0.035075769598859,-0.0250390565961056,"group1"
"an15_crus1_left","CNOnCrusILT","202002_cfos",0.154987676612917,0.0744305317942472,"group2"
"an16_crus1_left","CNOnCrusILT","202002_cfos",-0.0259910915651271,-0.0462241376229521,"group1"
"an17_crus1_left","CNOnCrusILT","202002_cfos",-0.0505770552351145,0.0475250596690679,"group1"
"an18_crus1_right","CNOnCrusIRT","202002_cfos",-0.027012015323946,-0.0279567695707941,"group1"
"an19_crus1_right","CNOnCrusIRT","202002_cfos",-0.0335382591668452,-0.0905247893635409,"group1"
"an1_crus1_left","CNOnCrusILT","202002_cfos",0.162981335221128,-0.041685686694615,"group2"
"an20_crus1_right","CNOnCrusIRT","202002_cfos",-0.0488465804298084,0.0419351115551226,"group1"
"an26_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0401668961932344,0.0160133375525929,"group1"
"an27_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0630749969012987,0.12849779167913,"group1"
"an28_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0293310879027893,-0.0674104093991126,"group1"
"an29_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0460716530515401,0.00150117760163614,"group1"
"an2_crus1_lat","CNOnCrusILT","202002_cfos",-0.0348817243491661,-0.0516053643810348,"group1"
"an30_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0448793177124184,-0.0403702474447309,"group1"
"an31_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0466001019302053,-0.04425999437994,"group1"
"an32_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0391644993928577,-0.0494298579721385,"group1"
"an33_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0314108481025108,-0.0648574257283493,"group1"
"an34_AcuteVehicleonly","Vehicleonly","202002_cfos",-0.0437823155630033,0.0182247827542345,"group1"
"an3_crus1_right","CNOnCrusIRT","202002_cfos",-0.0596993641107985,0.104163903551766,"group1"
"an4_crus1_right","CNOnCrusIRT","202002_cfos",-0.0512180715447762,0.00803164723685071,"group1"
"an5_crus1_left","CNOnCrusILT","202002_cfos",-0.0583326903594112,0.061873481105601,"group1"
"an6_crus1_left","CNOnCrusILT","202002_cfos",0.173363022314619,-0.0152490254175384,"group2"
"an7_crus1_left","CNOnCrusILT","202002_cfos",0.147933478181702,0.0389378267567086,"group2"
"an8_crus1_left","CNOnCrusILT","202002_cfos",0.185821385028907,0.0135263442656539,"group2"
"an9_crus1_left","CNOnCrusILT","202002_cfos",0.143090771136306,-0.0113516387093835,"group2"
